Timestamp,VAV_2_01_DamperPos (%),VAV_2_01_SpaceTemp (°F)
22-Jan-18 12:00:01 AM PST,0,nan
22-Jan-18 12:00:01 AM PST,nan,66.7
22-Jan-18 12:10:02 AM PST,0,nan
22-Jan-18 12:10:02 AM PST,nan,66.7
22-Jan-18 12:20:02 AM PST,0,nan
22-Jan-18 12:20:02 AM PST,nan,66.7
22-Jan-18 12:30:01 AM PST,0,nan
22-Jan-18 12:30:02 AM PST,nan,66.6
22-Jan-18 12:40:02 AM PST,0,nan
22-Jan-18 12:40:02 AM PST,nan,66.6
22-Jan-18 12:50:01 AM PST,0,nan
22-Jan-18 12:50:01 AM PST,nan,66.6
22-Jan-18 1:00:02 AM PST,0,nan
22-Jan-18 1:00:02 AM PST,nan,66.6
22-Jan-18 1:10:02 AM PST,0,nan
22-Jan-18 1:10:02 AM PST,nan,66.6
22-Jan-18 1:20:02 AM PST,0,nan
22-Jan-18 1:20:02 AM PST,nan,66.6
22-Jan-18 1:30:03 AM PST,0,nan
22-Jan-18 1:30:03 AM PST,nan,66.5
22-Jan-18 1:40:01 AM PST,0,nan
22-Jan-18 1:40:02 AM PST,nan,66.5
22-Jan-18 1:50:02 AM PST,0,nan
22-Jan-18 1:50:03 AM PST,nan,66.4
22-Jan-18 2:00:03 AM PST,0,nan
22-Jan-18 2:00:03 AM PST,nan,66.4
22-Jan-18 2:10:00 AM PST,0,nan
22-Jan-18 2:10:00 AM PST,nan,66.3
22-Jan-18 2:20:03 AM PST,0,nan
22-Jan-18 2:20:03 AM PST,nan,66.3
22-Jan-18 2:30:02 AM PST,0,nan
22-Jan-18 2:30:02 AM PST,nan,66.3
22-Jan-18 2:40:02 AM PST,0,nan
22-Jan-18 2:40:02 AM PST,nan,66.3
22-Jan-18 2:50:01 AM PST,0,nan
22-Jan-18 2:50:01 AM PST,nan,66.2
22-Jan-18 3:00:03 AM PST,0,nan
22-Jan-18 3:00:03 AM PST,nan,66.2
22-Jan-18 3:10:02 AM PST,0,nan
22-Jan-18 3:10:02 AM PST,nan,66.2
22-Jan-18 3:20:02 AM PST,0,nan
22-Jan-18 3:20:02 AM PST,nan,66.2
22-Jan-18 3:30:03 AM PST,0,nan
22-Jan-18 3:30:03 AM PST,nan,66.2
22-Jan-18 3:40:01 AM PST,0,nan
22-Jan-18 3:40:01 AM PST,nan,66.2
22-Jan-18 3:50:03 AM PST,0,nan
22-Jan-18 3:50:03 AM PST,nan,66.2
22-Jan-18 4:00:03 AM PST,0,nan
22-Jan-18 4:00:03 AM PST,nan,66.2
22-Jan-18 4:10:01 AM PST,0,nan
22-Jan-18 4:10:01 AM PST,nan,66.2
22-Jan-18 4:20:01 AM PST,0,nan
22-Jan-18 4:20:02 AM PST,nan,66.2
22-Jan-18 4:30:02 AM PST,0,nan
22-Jan-18 4:30:02 AM PST,nan,66.2
22-Jan-18 4:40:02 AM PST,0,nan
22-Jan-18 4:40:02 AM PST,nan,66.2
22-Jan-18 4:50:02 AM PST,0,nan
22-Jan-18 4:50:02 AM PST,nan,66.2
22-Jan-18 5:00:02 AM PST,0,nan
22-Jan-18 5:00:02 AM PST,nan,66.2
22-Jan-18 5:10:01 AM PST,0,nan
22-Jan-18 5:10:01 AM PST,nan,66.2
22-Jan-18 5:20:02 AM PST,0,nan
22-Jan-18 5:20:02 AM PST,nan,66.2
22-Jan-18 5:30:02 AM PST,0,nan
22-Jan-18 5:30:03 AM PST,nan,66.2
22-Jan-18 5:40:02 AM PST,0,nan
22-Jan-18 5:40:02 AM PST,nan,66.1
22-Jan-18 5:50:02 AM PST,0,nan
22-Jan-18 5:50:02 AM PST,nan,66.2
22-Jan-18 6:00:02 AM PST,0,nan
22-Jan-18 6:00:02 AM PST,nan,66.2
22-Jan-18 6:10:01 AM PST,19.1,nan
22-Jan-18 6:10:01 AM PST,nan,66.1
22-Jan-18 6:20:01 AM PST,19.7,nan
22-Jan-18 6:20:01 AM PST,nan,66.1
22-Jan-18 6:30:03 AM PST,18.2,nan
22-Jan-18 6:30:03 AM PST,nan,66.1
22-Jan-18 6:40:01 AM PST,20.2,nan
22-Jan-18 6:40:01 AM PST,nan,66.1
22-Jan-18 6:50:01 AM PST,17.7,nan
22-Jan-18 6:50:01 AM PST,nan,66.1
22-Jan-18 7:00:04 AM PST,20.2,nan
22-Jan-18 7:00:04 AM PST,nan,66.1
22-Jan-18 7:10:02 AM PST,17.7,nan
22-Jan-18 7:10:02 AM PST,nan,66.1
22-Jan-18 7:20:02 AM PST,20.6,nan
22-Jan-18 7:20:02 AM PST,nan,66.1
22-Jan-18 7:30:03 AM PST,22.6,nan
22-Jan-18 7:30:03 AM PST,nan,66.1
22-Jan-18 7:40:01 AM PST,22.6,nan
22-Jan-18 7:40:01 AM PST,nan,66
22-Jan-18 7:50:02 AM PST,25.9,nan
22-Jan-18 7:50:02 AM PST,nan,66.1
22-Jan-18 8:00:03 AM PST,24.2,nan
22-Jan-18 8:00:03 AM PST,nan,66.4
22-Jan-18 8:10:01 AM PST,25.1,nan
22-Jan-18 8:10:01 AM PST,nan,66.7
22-Jan-18 8:20:01 AM PST,17.3,nan
22-Jan-18 8:20:01 AM PST,nan,67
